Crop_Year,State,Crop,Season,Area,Temperature,Rainfall,Humidity,Yield
2014,Uttar Pradesh,Sunflower,Rabi,4578.58,27.7,1011.1,62.3,928.47
2001,Maharashtra,Soyabean,Kharif,1618.76,29.5,1013.1,71.0,1149.24
2018,Tamil Nadu,Chickpea,Rabi,3094.29,33.6,1157.7,83.2,1155.78
2007,Bihar,Groundnut,Rabi,1503.28,28.3,1177.1,75.1,2057.92
2001,Gujarat,Sugarcane,Whole Year,401.16,29.6,730.8,50.6,75906.33
2017,Telangana,Groundnut,Kharif,234.87,29.8,1113.3,68.4,1128.45
2012,Maharashtra,Sunflower,Rabi,3133.31,35.0,1476.5,78.2,823.23
2010,Gujarat,Wheat,Rabi,1648.63,29.3,877.9,55.2,2837.77
2021,Maharashtra,Potato,Rabi,450.32,33.5,1098.4,60.7,19815.03
2013,Andhra Pradesh,Jowar,Rabi,1435.67,37.3,1104.9,62.9,805.99
2014,Haryana,Cotton,Kharif,504.41,25.3,559.4,54.7,511.47
2005,Chhattisgarh,Chickpea,Rabi,2022.6,31.9,1498.5,73.2,788.07
2001,West Bengal,Maize,Rabi,2719.92,30.4,1831.7,82.1,1928.97
2012,Madhya Pradesh,Bajra,Kharif,1971.44,28.5,1416.7,72.1,914.96
2001,Haryana,Rice,Kharif,3274.85,24.3,519.8,54.7,1411.73
2003,Gujarat,Maize,Rabi,1715.94,28.1,985.5,53.3,2421.95
2004,Haryana,Jowar,Kharif,3479.81,27.3,622.4,57.5,722.08
2010,Gujarat,Jowar,Rabi,2146.18,35.7,1003.2,56.3,926.11
2005,Uttar Pradesh,Soyabean,Kharif,1231.05,30.9,1028.7,61.2,815.12
2020,Uttar Pradesh,Chickpea,Rabi,4140.96,29.7,853.5,66.9,987.82
2015,Madhya Pradesh,Maize,Rabi,462.26,30.5,979.3,59.4,2287.09
2016,Maharashtra,Soyabean,Kharif,3958.61,29.0,1065.4,70.5,1018.25
2011,Maharashtra,Maize,Kharif,3543.87,29.2,1212.4,68.4,2466.33
2009,Tamil Nadu,Potato,Rabi,4118.21,29.8,1184.8,69.3,15883.82
2007,Madhya Pradesh,Rice,Kharif,4930.71,28.3,1304.0,55.8,2734.93
2003,West Bengal,Maize,Kharif,1305.73,31.6,1312.8,85.1,2244.01
2001,Telangana,Jowar,Kharif,3421.15,29.7,737.0,62.9,817.51
2006,Uttar Pradesh,Groundnut,Kharif,4020.44,28.1,958.4,63.4,1258.96
2005,Maharashtra,Mustard,Rabi,1302.3,27.8,1232.6,67.2,1026.4
2001,Telangana,Lentil,Rabi,3156.41,33.2,977.5,81.1,820.73
2004,Tamil Nadu,Potato,Rabi,2345.31,33.6,878.5,66.5,20584.25
2016,Madhya Pradesh,Turmeric,Kharif,854.95,26.7,1374.7,75.1,5444.2
2011,Telangana,Rice,Kharif,2990.95,31.9,937.0,69.7,2556.03
2001,Punjab,Jowar,Kharif,117.68,24.5,627.3,69.8,844.15
2005,Haryana,Cotton,Kharif,3644.3,24.4,853.4,53.6,393.13
2013,Uttar Pradesh,Maize,Kharif,1075.78,28.8,974.2,65.0,2101.89
2018,Andhra Pradesh,Groundnut,Kharif,4268.3,37.2,1213.3,70.5,1445.03
2015,Telangana,Lentil,Rabi,3934.11,33.9,1028.8,69.4,1049.73
2002,Punjab,Groundnut,Rabi,3201.39,21.8,717.5,62.2,1499.21
2015,Uttar Pradesh,Bajra,Kharif,2012.89,30.5,949.6,64.9,1124.47
2005,Odisha,Sugarcane,Whole Year,4901.16,23.8,1486.6,68.2,66094.2
2016,Haryana,Lentil,Rabi,801.92,26.9,509.0,54.9,667.38
2018,Haryana,Maize,Kharif,3029.58,27.5,570.7,50.3,1502.45
2006,Andhra Pradesh,Cotton,Kharif,647.15,28.4,921.3,72.3,307.98
2009,Gujarat,Mustard,Rabi,506.84,35.9,720.4,52.6,1024.38
2004,Gujarat,Rice,Kharif,4040.7,29.2,836.9,56.7,1689.59
2014,Andhra Pradesh,Chickpea,Rabi,2339.55,34.1,801.8,72.2,1096.18
2018,Telangana,Sunflower,Kharif,2264.69,27.0,980.5,63.5,681.89
2017,West Bengal,Soyabean,Kharif,1096.67,26.1,1547.4,81.3,1156.81
2003,Madhya Pradesh,Potato,Rabi,3261.67,36.4,1006.4,70.4,24739.19
2012,Tamil Nadu,Rice,Kharif,681.52,28.8,942.6,83.6,3272.89
2013,Tamil Nadu,Mustard,Rabi,1685.22,29.5,961.2,85.1,1261.05
2009,Chhattisgarh,Chickpea,Rabi,447.16,21.7,1402.7,76.3,891.0
2006,Madhya Pradesh,Lentil,Rabi,4876.58,34.5,1088.8,71.4,997.53
2019,Bihar,Bajra,Kharif,4200.98,24.7,1195.8,73.3,1265.77
2014,Uttar Pradesh,Potato,Rabi,1478.72,25.2,940.2,81.7,17025.91
2010,Uttar Pradesh,Groundnut,Rabi,2765.59,24.5,934.4,61.5,1338.09
2009,Telangana,Cotton,Kharif,3813.13,29.2,1315.1,57.4,353.66
2012,Uttar Pradesh,Cotton,Kharif,2072.17,26.7,713.7,66.1,490.18
2008,Odisha,Turmeric,Kharif,4148.31,30.9,1595.7,73.3,5432.88
2014,Haryana,Mustard,Rabi,2639.17,28.2,601.1,65.2,1028.75
2014,Karnataka,Bajra,Kharif,4503.35,28.8,1331.3,87.0,712.64
2015,Uttar Pradesh,Rice,Kharif,1950.26,30.2,914.3,59.7,2497.19
2019,Andhra Pradesh,Maize,Kharif,1707.78,32.8,887.7,75.8,2978.81
2004,Karnataka,Mustard,Rabi,4988.58,29.1,1151.5,72.0,1221.68
2010,Madhya Pradesh,Groundnut,Rabi,2495.21,29.0,1139.1,54.5,1358.62
2020,Gujarat,Bajra,Kharif,2016.57,29.9,806.6,64.5,843.99
2019,Punjab,Mustard,Rabi,3485.04,19.9,742.1,53.6,1016.98
2006,West Bengal,Bajra,Kharif,1175.39,23.8,1509.2,84.6,891.62
2018,Tamil Nadu,Chickpea,Rabi,3076.7,31.3,1258.9,80.9,1022.08
2010,Tamil Nadu,Lentil,Rabi,3867.67,29.4,1122.5,76.0,884.74
2004,West Bengal,Chickpea,Rabi,667.08,34.3,1678.6,76.5,762.83
2020,Rajasthan,Potato,Rabi,3949.56,30.7,436.9,48.3,16431.57
2007,Andhra Pradesh,Wheat,Rabi,1767.42,31.2,1200.4,70.4,2406.2
2007,Haryana,Groundnut,Rabi,869.29,24.2,785.9,54.0,1043.93
2017,Uttar Pradesh,Soyabean,Kharif,4807.3,27.3,734.0,80.4,1103.86
2019,Gujarat,Chickpea,Rabi,1089.03,30.7,773.3,75.4,850.7
2014,Punjab,Rice,Kharif,3584.59,30.1,992.5,56.6,972.3
2004,Haryana,Lentil,Rabi,950.54,22.5,533.3,51.3,956.2
2018,Karnataka,Soyabean,Kharif,4341.62,30.1,673.9,70.4,946.3
2008,Telangana,Turmeric,Kharif,565.34,29.7,1023.4,60.7,6392.81
2014,Punjab,Maize,Rabi,3035.83,19.8,564.9,61.4,1678.29
2021,Uttar Pradesh,Soyabean,Kharif,181.33,28.8,712.3,70.5,1054.38
2020,Telangana,Cotton,Kharif,1712.54,29.9,1113.3,75.1,470.0
2021,Rajasthan,Wheat,Rabi,1507.61,35.4,395.4,40.0,2808.42
2014,Haryana,Rice,Kharif,3721.35,24.0,893.1,61.7,1893.98
2013,Chhattisgarh,Sugarcane,Whole Year,3471.55,30.4,1380.9,82.1,68143.01
2017,Rajasthan,Groundnut,Rabi,2055.98,37.5,396.9,36.6,767.18
2002,Bihar,Bajra,Kharif,3022.56,24.5,1176.5,71.1,1049.71
2014,Odisha,Chickpea,Rabi,282.48,30.3,1391.1,77.1,824.88
2021,West Bengal,Turmeric,Kharif,4193.54,30.1,1581.3,84.5,6545.1
2015,Andhra Pradesh,Wheat,Rabi,4772.73,31.9,782.1,73.8,2464.77
2011,Haryana,Maize,Rabi,4239.72,24.8,994.8,50.4,1701.25
2011,Uttar Pradesh,Jowar,Kharif,3011.52,26.0,888.6,63.2,822.41
2017,Bihar,Mustard,Rabi,727.25,26.8,1193.1,73.1,1008.78
2021,Tamil Nadu,Maize,Rabi,3807.23,33.1,1355.2,86.1,2447.06
2015,Rajasthan,Turmeric,Kharif,268.62,29.9,790.9,37.6,4989.27
2016,Karnataka,Jowar,Kharif,620.65,30.4,946.1,83.1,636.24
2014,Karnataka,Rice,Kharif,3001.54,25.9,953.6,76.3,2349.94
2012,Tamil Nadu,Potato,Rabi,2883.52,31.4,1358.3,85.4,22187.66
2010,Uttar Pradesh,Turmeric,Kharif,4389.49,25.3,544.3,62.4,4376.84
2007,Haryana,Mustard,Rabi,96.95,25.9,566.7,48.4,1070.15
2007,Rajasthan,Potato,Rabi,2636.47,28.3,355.0,44.7,17682.67
2001,Maharashtra,Jowar,Rabi,4556.18,26.6,1158.7,73.4,686.0
2014,Karnataka,Bajra,Kharif,3023.95,26.8,1008.1,81.8,1002.03
2019,Andhra Pradesh,Cotton,Kharif,2587.81,30.4,870.4,68.3,461.42
2006,Haryana,Bajra,Kharif,4013.81,22.9,735.7,73.0,997.98
2010,Uttar Pradesh,Turmeric,Kharif,2600.48,28.4,899.5,64.5,6558.89
2015,Gujarat,Bajra,Kharif,222.58,25.4,618.2,58.9,618.84
2012,Haryana,Jowar,Rabi,225.34,27.3,619.9,52.6,929.37
2006,Odisha,Lentil,Rabi,1335.78,28.9,1769.2,72.9,758.43
2008,Uttar Pradesh,Wheat,Rabi,4420.39,30.3,905.4,76.2,3384.48
2013,Tamil Nadu,Mustard,Rabi,1371.79,31.6,1195.8,83.6,1274.72
2011,Bihar,Jowar,Kharif,1231.52,24.7,1189.2,78.2,913.72
2011,West Bengal,Potato,Rabi,1181.69,31.9,1651.5,75.3,15811.02
2017,Gujarat,Chickpea,Rabi,2821.23,30.3,617.7,57.7,793.01
2009,Karnataka,Potato,Rabi,4816.81,30.0,783.8,76.1,21551.58
2017,Punjab,Sugarcane,Whole Year,3866.37,23.4,977.0,56.5,86809.74
2012,Bihar,Maize,Rabi,171.71,30.9,1090.1,68.7,2770.59
2004,Chhattisgarh,Wheat,Rabi,2159.6,24.9,1273.3,77.9,3215.4
2015,Madhya Pradesh,Wheat,Rabi,3418.47,26.8,1230.9,71.9,2998.07
2020,Maharashtra,Mustard,Rabi,2018.09,31.2,1169.0,65.7,1108.33
2012,Uttar Pradesh,Jowar,Rabi,2835.61,34.3,651.5,62.5,761.18
2008,Gujarat,Cotton,Kharif,3866.06,32.1,841.1,54.3,476.42
2003,Maharashtra,Bajra,Kharif,968.02,33.1,1425.2,72.2,617.05
2021,Rajasthan,Sunflower,Kharif,1381.52,31.4,549.4,40.3,682.85
2018,Punjab,Chickpea,Rabi,2425.7,20.0,814.1,64.7,1016.73
2011,Andhra Pradesh,Jowar,Rabi,2428.51,31.3,889.5,86.4,946.27
2010,Madhya Pradesh,Rice,Kharif,3890.23,32.6,1113.7,59.7,1850.81
2014,Andhra Pradesh,Soyabean,Kharif,3481.31,32.9,969.9,82.2,1399.68
2012,Telangana,Jowar,Rabi,4361.3,33.2,1045.3,74.3,888.94
2020,Karnataka,Mustard,Rabi,2787.36,30.4,1069.6,71.5,1277.01
2014,Odisha,Potato,Rabi,454.07,26.4,1420.6,79.7,22837.86
2006,Haryana,Sunflower,Rabi,3610.05,26.1,668.0,61.7,601.79
2015,Gujarat,Groundnut,Kharif,1325.53,33.7,733.4,65.6,1407.95
2004,Madhya Pradesh,Cotton,Kharif,3689.98,30.1,1337.0,73.7,685.21
2021,Rajasthan,Sugarcane,Whole Year,2007.8,36.8,646.1,45.6,68854.11
2012,Haryana,Maize,Rabi,1950.04,29.1,631.0,62.5,1755.01
2010,Madhya Pradesh,Chickpea,Rabi,1225.84,29.9,1275.9,71.3,884.13
2007,Telangana,Chickpea,Rabi,1828.21,28.1,997.9,70.2,989.28
2005,Punjab,Maize,Kharif,1659.69,22.8,752.0,59.7,2104.72
2003,Bihar,Potato,Rabi,2238.02,25.5,807.2,66.7,20558.46
2008,Maharashtra,Sugarcane,Whole Year,3104.87,26.9,1278.1,75.1,77608.49
2017,Maharashtra,Rice,Kharif,3541.66,31.7,1175.8,79.5,3398.86
2014,Madhya Pradesh,Wheat,Rabi,332.58,31.8,1107.8,72.4,3115.82
2017,Maharashtra,Rice,Kharif,2944.12,26.8,1442.4,81.8,2181.47
2018,Chhattisgarh,Wheat,Rabi,4866.83,24.1,1375.5,61.3,2919.84
2013,Andhra Pradesh,Sugarcane,Whole Year,760.53,32.2,968.1,69.6,70063.79
2006,Karnataka,Bajra,Kharif,4347.3,28.4,862.4,74.8,1272.72
2008,Uttar Pradesh,Potato,Rabi,4329.81,27.0,941.9,68.7,21191.0
2016,Chhattisgarh,Cotton,Kharif,3273.6,28.8,1186.9,73.6,526.07
2013,Gujarat,Jowar,Kharif,1478.99,31.8,632.2,65.4,832.94
2019,Gujarat,Jowar,Kharif,4351.06,27.3,615.1,52.0,977.32
2007,Uttar Pradesh,Sunflower,Rabi,2839.02,30.2,576.5,71.4,1001.55
2011,Haryana,Sunflower,Rabi,3037.07,28.7,880.1,44.5,660.53
2016,West Bengal,Bajra,Kharif,4243.48,23.9,1625.6,65.5,754.67
2018,Karnataka,Groundnut,Rabi,3591.68,30.3,1013.0,80.5,1394.65
2004,Maharashtra,Sunflower,Kharif,4638.82,27.1,1157.9,59.8,741.94
2015,Madhya Pradesh,Chickpea,Rabi,2684.69,27.9,1124.5,63.7,1196.04
2011,Gujarat,Sugarcane,Whole Year,659.95,31.8,809.2,56.5,58855.96
2010,Uttar Pradesh,Potato,Rabi,4592.87,25.9,877.4,62.2,23517.63
2015,Gujarat,Potato,Rabi,4759.45,34.0,807.6,58.3,20596.93
2010,Rajasthan,Lentil,Rabi,915.13,34.8,361.9,43.9,861.89
2004,Bihar,Cotton,Kharif,1410.29,26.3,1287.2,68.0,469.71
2001,Madhya Pradesh,Potato,Rabi,2148.53,28.9,1012.1,67.5,23537.46
2016,Maharashtra,Rice,Kharif,1595.75,27.2,1103.6,62.0,2702.99
2002,Gujarat,Turmeric,Kharif,1408.97,35.2,888.4,48.8,3765.66
2011,Rajasthan,Rice,Kharif,4956.72,34.4,644.3,39.7,1849.3
2001,Tamil Nadu,Cotton,Kharif,2998.97,26.8,962.0,85.0,365.24
2002,Gujarat,Rice,Kharif,3364.53,31.5,659.7,63.8,1472.13
2003,Haryana,Groundnut,Rabi,992.11,25.6,570.7,46.3,914.47
2004,Andhra Pradesh,Sunflower,Rabi,4810.25,35.3,1054.2,70.0,639.62
2016,Chhattisgarh,Jowar,Kharif,56.12,22.2,1225.1,69.5,1021.05
2020,Chhattisgarh,Cotton,Kharif,3136.75,28.5,1253.6,74.8,488.22
2002,Andhra Pradesh,Sugarcane,Whole Year,362.39,31.3,888.8,65.1,54647.31
2009,Punjab,Mustard,Rabi,2573.14,22.6,822.0,62.7,1053.01
2005,Telangana,Groundnut,Rabi,1985.66,24.7,954.2,81.2,1464.04
2010,Chhattisgarh,Bajra,Kharif,4346.88,29.4,1389.9,71.0,864.64
2002,Maharashtra,Maize,Rabi,1156.89,29.2,1282.0,70.7,2205.43
2004,Gujarat,Groundnut,Kharif,3051.54,29.7,889.8,55.2,1272.54
2004,Maharashtra,Wheat,Rabi,719.07,29.1,1279.5,69.6,2977.91
2014,Gujarat,Lentil,Rabi,4386.72,32.8,681.2,50.1,962.96
2019,Telangana,Maize,Kharif,999.32,30.8,728.0,71.9,2589.56
2019,Telangana,Jowar,Kharif,894.79,29.1,865.9,73.6,1171.04
2008,Madhya Pradesh,Soyabean,Kharif,4079.15,26.2,1236.9,71.0,1454.17
2005,Karnataka,Wheat,Rabi,4438.69,23.6,966.3,68.0,2399.74
2005,Chhattisgarh,Soyabean,Kharif,1966.04,27.4,1143.0,76.3,1320.03
2007,Karnataka,Potato,Rabi,3113.79,29.3,925.9,67.8,22038.67
2004,Maharashtra,Turmeric,Kharif,1888.47,31.0,1003.8,59.5,5785.53
2004,Maharashtra,Potato,Rabi,4330.07,30.8,1014.3,72.7,24560.58
2021,Gujarat,Groundnut,Rabi,4783.3,32.2,775.0,62.0,1254.3
2021,Odisha,Bajra,Kharif,4134.4,22.9,1485.4,66.9,861.8
2013,Uttar Pradesh,Sunflower,Kharif,793.34,28.2,1158.3,63.6,809.32
2011,Rajasthan,Soyabean,Kharif,3312.23,32.7,414.1,42.1,734.49
2014,Tamil Nadu,Potato,Rabi,4958.36,29.5,1329.2,85.5,13450.9
2010,Andhra Pradesh,Bajra,Kharif,153.68,34.5,836.5,63.5,1144.28
2004,Punjab,Maize,Kharif,3094.31,25.6,883.7,56.5,2021.68
2021,Punjab,Potato,Rabi,669.91,21.5,689.9,65.0,19903.59
2011,Odisha,Wheat,Rabi,266.49,29.6,1363.8,74.6,2603.91
2018,Chhattisgarh,Sunflower,Rabi,4718.23,26.8,1250.3,75.3,808.17
2003,Tamil Nadu,Cotton,Kharif,3373.7,32.9,1096.0,79.8,348.61
2021,Maharashtra,Turmeric,Kharif,4893.07,29.9,1439.9,76.7,5217.23
2013,Rajasthan,Groundnut,Rabi,865.83,34.0,302.3,38.8,1058.88
2012,Haryana,Soyabean,Kharif,3677.37,31.8,811.3,46.6,995.88
2007,Haryana,Soyabean,Kharif,2907.01,25.6,802.6,59.2,787.89
2012,Tamil Nadu,Rice,Kharif,3645.99,34.2,1086.6,79.6,1871.38
2002,Chhattisgarh,Soyabean,Kharif,1809.15,28.7,1518.2,65.3,701.57
2006,Haryana,Lentil,Rabi,4389.42,30.3,590.1,59.3,904.58
2008,Maharashtra,Groundnut,Kharif,932.94,28.0,1022.9,75.9,1305.65
2003,Gujarat,Chickpea,Rabi,371.03,34.9,1050.9,72.4,1116.53
2018,Punjab,Chickpea,Rabi,3030.62,21.5,757.9,66.4,1079.12
2004,West Bengal,Groundnut,Kharif,2610.48,25.1,1571.0,75.7,737.0
2020,Punjab,Lentil,Rabi,359.58,25.5,804.7,54.6,1019.0
2006,Uttar Pradesh,Rice,Kharif,3199.08,27.1,939.2,71.9,2286.01
2009,Bihar,Soyabean,Kharif,4754.05,27.8,893.5,76.3,1409.05
2006,Andhra Pradesh,Turmeric,Kharif,2614.49,32.8,927.9,69.2,4774.89
2005,Haryana,Cotton,Kharif,2430.48,27.7,634.6,63.5,544.92
2007,Chhattisgarh,Soyabean,Kharif,2507.48,32.2,1231.4,70.4,1119.44
2020,Odisha,Sunflower,Rabi,3301.93,28.7,1469.4,70.7,664.88
2010,Odisha,Chickpea,Rabi,1396.15,28.2,1735.2,72.8,798.08
2011,Madhya Pradesh,Wheat,Rabi,739.26,23.9,1232.6,72.4,2881.65
2011,Punjab,Bajra,Kharif,4818.8,25.8,714.5,59.3,805.75
2021,Chhattisgarh,Jowar,Kharif,1319.82,25.2,1385.1,66.0,1193.84
2012,Rajasthan,Cotton,Kharif,1780.06,31.2,278.5,43.2,453.76
2002,Uttar Pradesh,Bajra,Kharif,2049.69,31.6,931.5,78.0,1115.54
2001,Chhattisgarh,Groundnut,Rabi,2171.72,29.0,1167.4,72.8,1215.32
2007,Haryana,Turmeric,Kharif,2749.89,26.1,540.8,56.9,5981.87
2017,Haryana,Lentil,Rabi,1046.75,24.2,573.4,65.0,756.26
2008,Andhra Pradesh,Lentil,Rabi,4395.26,31.3,715.5,77.3,875.8
2020,Uttar Pradesh,Potato,Rabi,4001.8,26.0,580.5,60.1,18307.06
2012,Maharashtra,Maize,Kharif,2640.48,31.3,1099.8,81.2,2575.54
2015,Karnataka,Jowar,Kharif,4579.7,24.0,1017.7,80.9,1080.48
2003,Karnataka,Maize,Kharif,4491.07,27.1,807.5,72.4,2101.11
2016,Tamil Nadu,Cotton,Kharif,802.92,36.2,989.9,78.1,621.44
2013,Uttar Pradesh,Lentil,Rabi,4921.35,30.9,1114.9,57.9,866.7
2003,Bihar,Cotton,Kharif,2660.63,28.4,1148.9,73.2,446.18
2009,Gujarat,Sunflower,Kharif,4104.36,35.5,802.6,58.2,496.51
2009,Telangana,Sunflower,Rabi,1821.1,34.2,946.6,62.0,725.74
2001,Maharashtra,Sunflower,Rabi,1237.38,28.0,1061.6,79.7,771.07
2016,Rajasthan,Soyabean,Kharif,2907.39,35.0,492.8,39.1,965.73
2016,Uttar Pradesh,Sugarcane,Whole Year,576.4,25.7,975.6,70.2,71944.75
2021,Telangana,Groundnut,Kharif,214.29,33.6,752.5,72.3,1443.76
2018,Gujarat,Lentil,Rabi,3271.3,30.1,579.2,52.1,743.14
2003,Maharashtra,Bajra,Kharif,2093.17,28.8,1411.8,69.7,814.06
2006,Chhattisgarh,Potato,Rabi,1436.18,26.9,1412.6,75.2,19721.84
2013,Rajasthan,Sunflower,Rabi,4815.91,30.7,562.9,38.8,756.73
2014,Telangana,Sugarcane,Whole Year,1131.29,26.7,1029.2,72.5,67698.34
2004,Rajasthan,Sugarcane,Whole Year,4392.34,32.1,519.2,45.4,73372.6
2016,Chhattisgarh,Rice,Kharif,221.62,28.2,1474.3,68.4,2273.43
2009,Gujarat,Jowar,Kharif,3362.54,32.6,1153.1,49.1,745.73
2015,Odisha,Chickpea,Rabi,730.74,26.5,1429.7,84.6,884.73
2007,Haryana,Sugarcane,Whole Year,701.88,27.8,548.9,56.8,45453.15
2008,Rajasthan,Rice,Kharif,3188.81,32.7,372.3,39.4,873.48
2008,West Bengal,Mustard,Rabi,1232.34,21.7,1370.0,93.8,1029.44
2013,Chhattisgarh,Maize,Rabi,2397.73,30.4,1654.6,75.8,1960.69
2007,Uttar Pradesh,Potato,Rabi,4022.8,29.2,1309.6,67.3,18436.59
2005,Rajasthan,Bajra,Kharif,1458.58,33.3,599.6,43.2,924.08
2011,Karnataka,Turmeric,Kharif,272.03,28.9,986.9,72.8,5490.09
2008,Haryana,Sunflower,Rabi,3371.17,28.1,475.2,64.3,574.0
2005,Odisha,Potato,Rabi,57.75,27.8,1522.0,85.7,20670.0
2001,Punjab,Sugarcane,Whole Year,2308.37,21.8,654.0,69.1,58643.78
2019,Uttar Pradesh,Sunflower,Rabi,1806.12,28.4,966.3,58.5,1005.92
2010,Bihar,Turmeric,Kharif,2535.66,26.2,1052.4,80.0,6756.13
2016,Gujarat,Groundnut,Kharif,4956.75,32.4,887.6,45.3,1529.75
2015,Karnataka,Turmeric,Kharif,266.51,27.4,845.8,82.6,5567.81
2021,Rajasthan,Groundnut,Rabi,3477.84,37.6,288.2,36.3,707.5
2012,West Bengal,Chickpea,Rabi,4001.98,28.7,1639.0,79.2,957.73
2016,Tamil Nadu,Mustard,Rabi,110.93,30.3,1138.8,81.5,863.93
2005,Punjab,Bajra,Kharif,3246.42,23.6,764.6,45.9,889.36
2015,Haryana,Mustard,Rabi,404.97,21.8,529.1,63.8,1322.75
2012,Punjab,Sugarcane,Whole Year,2820.46,24.1,762.7,49.4,51932.11
2015,Andhra Pradesh,Mustard,Rabi,2464.86,32.1,942.4,63.6,985.56
2006,Haryana,Soyabean,Kharif,3034.57,22.2,427.1,61.2,519.75
2013,Maharashtra,Jowar,Kharif,2731.44,30.6,1275.1,59.2,786.48
2017,Gujarat,Maize,Rabi,2561.86,28.2,861.9,61.0,2539.91
2003,Uttar Pradesh,Sunflower,Kharif,795.08,26.7,984.7,69.3,914.74
2019,Punjab,Bajra,Kharif,1046.49,22.8,684.1,75.9,751.39
2021,Haryana,Lentil,Rabi,3015.65,24.5,335.3,53.9,769.4
2009,Tamil Nadu,Sugarcane,Whole Year,4391.6,31.9,1145.6,84.8,70700.57
2004,Telangana,Soyabean,Kharif,1464.63,32.6,841.2,69.4,600.03
2017,Rajasthan,Maize,Rabi,4334.61,32.9,442.8,45.1,1942.24
2013,Madhya Pradesh,Soyabean,Kharif,2408.59,27.4,980.8,61.4,948.92
2015,Maharashtra,Turmeric,Kharif,3151.63,33.9,1163.8,75.7,6809.72
2021,West Bengal,Chickpea,Rabi,1825.64,26.4,1729.4,85.7,922.55
2007,Karnataka,Chickpea,Rabi,268.6,30.0,784.1,76.1,973.98
2008,Haryana,Wheat,Rabi,2025.55,23.6,796.3,60.8,2189.1
2013,Chhattisgarh,Sunflower,Kharif,3503.89,29.0,1418.9,73.2,565.39
2013,Punjab,Wheat,Rabi,3350.93,25.1,649.1,50.4,2395.18
2007,Tamil Nadu,Chickpea,Rabi,2408.36,32.6,964.1,78.4,1041.62
2017,Maharashtra,Maize,Kharif,3612.97,28.7,1363.5,71.3,2475.33
2014,Madhya Pradesh,Wheat,Rabi,2342.7,28.1,944.9,71.1,2572.35
2008,Madhya Pradesh,Turmeric,Kharif,1393.48,25.4,1095.8,70.0,5308.24
2017,Bihar,Jowar,Rabi,1622.05,27.0,1098.6,70.0,982.4
2009,Punjab,Bajra,Kharif,1734.84,24.5,542.1,61.2,1002.72
2019,Punjab,Lentil,Rabi,2197.4,23.4,813.4,59.6,1146.05
2010,Uttar Pradesh,Sunflower,Kharif,738.62,29.4,846.0,61.5,682.36
2004,Bihar,Rice,Kharif,3527.58,25.5,1052.6,75.7,2899.1
2005,West Bengal,Rice,Kharif,2517.93,30.5,1553.7,74.0,2026.45
2009,Chhattisgarh,Maize,Rabi,309.16,26.9,1517.9,76.0,2022.68
